Cuz,Australian Aboriginals
Cygan,Gypsy
Czarnuch,Blacks
Czigger,Mixed Races
D.F.N.,Blacks
D.I.P.,Indians
Da Bi Zi,Whites
Da Gui,Whites
Dago,Italians
Dago,Spanish
Dagowop,Italians
Dahati,Iranians
Daikon,Japanese
DAK,Koreans
DampBack,Mexicans
DAN,Blacks
Dancing Dragon,Chinese
Dandruff,Whites
Darkie,Blacks
Darkness,Blacks
Data,Asians
Dawg,Blacks
Ddang Kong,Vietnamese
Dead Sea Pedestrian,Jews
Dees-Right,Arabs
Defendant,Blacks
Dema,Icelanders
Demi-nigger,Arabs
Democrats,Blacks
DeNiro,Whites
Derka Derka,Arabs
Desabrido,Whites
Desi,Indians
Desi,Cubans
Destro,Blacks
Deuce,Blacks
Devil,Whites
Dexican,Mixed Races
Dholia,Whites
Dial,Jews
Diaper-Head,Arabs
Dib,Israelis
Dicksuckinflog,Dutch
Diesel,Native Americans
Dim Sum,Chinese
Ding Dong,Blacks
Dinge,Blacks
Dingo Fucker,Australians
Dink,Vietnamese
Dirt-Worshipper,Native Americans
Dirty Knees,Arabs
Dirty Sanchez,Mexicans
Ditchpig,Whites
Ditz,Whites
Do-Da,Blacks
Doener,Turkish
Dog-Breath,Koreans
Dog-Eater,Asians
Dog-Fucker,Whites
Dog-Muncher,Asians
Dome,Dominicans
Domino,Mixed Races
Donkey,Irish
Donkey Kong,Blacks
Dootie,Blacks
Doozers,Whites
Dorito,Blacks
Dot Knot,Indians
Dot/Dot-Head,Indians
Dottie,Indians
Double A,Blacks
Double D,Arabs
Double Dip,Blacks
Doujin,Blacks
Douse,Whites
Dozer,Hispanics
DP,Polish
Drac,Romanians
Drago,Russians
Dreads,Jamaicans
Dreidl,Jews
Dried Shit,Whites
Drongo,Australians
Drunk,Irish
Dryback,Canadians
Drywaller,Hispanics
Dub,Ukrainians
Dubya,Americans
Duck,Vietnamese
Duke Nukem,Americans
Dumb Wet,Hispanics
Dumb-inican,Dominicans
Dune Coon,Arabs
Dune Nigger,Arabs
Durka-durka,Arabs
Dusty Nuts,Arabs
DWB,Whites
DWB,Blacks
DWO,Asians
Dyke,Dutch
Dyke-Jumper,Dutch
Easy-Bake Nigger,Jews
Egg,Whites
Egghead,Asians
Egglet,Blacks
Eggot,Blacks
Eggplant,Blacks
Eggplant Parmesan,Mixed Races
Eggroll,Asians
Egot,Blacks
Egoy,Blacks
Eight Ball,Blacks
El Chino,Chinese
Elephant Jockey,Indians
Elevator Operator,Blacks
Elvis,Whites
Eminem,Whites
Eraser Head,Blacks
Es-obe,Blacks
Esau,Whites
Ese,Hispanics
